image_id,gene,source_dir
Duodenum_CHCHD2_Male_35_3219.jpg,CHCHD2,images
Duodenum_CHCHD3_Female_67_3479.jpg,CHCHD3,images
Duodenum_CHD4_Male_54_2562.jpg,CHD4,images
Duodenum_CHGA_Female_43_148.jpg,CHGA,images
Duodenum_CHGB_Male_59_1961.jpg,CHGB,images
Duodenum_CHMP4A_Female_67_3479.jpg,CHMP4A,images
Duodenum_CHRDL2_Male_50_1904.jpg,CHRDL2,images
Duodenum_CHTOP_Male_35_3219.jpg,CHTOP,images
Duodenum_CIR1_Female_67_3479.jpg,CIR1,images
Duodenum_CISD3_Male_55_1920.jpg,CISD3,images
Duodenum_CISH_Male_35_3219.jpg,CISH,images
Duodenum_CISH_Male_55_1920.jpg,CISH,images
Duodenum_CITED2_Male_50_1904.jpg,CITED2,images
Duodenum_CKAP2L_Male_35_3219.jpg,CKAP2L,images
Duodenum_CLASP1_Female_67_3479.jpg,CLASP1,images
Duodenum_CLDN4_Male_50_1904.jpg,CLDN4,images
Duodenum_CLDN4_Male_66_2329.jpg,CLDN4,images
Duodenum_CLPP_Male_50_1904.jpg,CLPP,images
Duodenum_CMAS_Male_55_1920.jpg,CMAS,images
Duodenum_CMIP_Male_59_1961.jpg,CMIP,images
Duodenum_CNNM3_Male_54_2562.jpg,CNNM3,images
Duodenum_CNOT4_Male_50_1904.jpg,CNOT4,images
Duodenum_CNST_Male_50_1904.jpg,CNST,images
Duodenum_CNTROB_Male_50_1904.jpg,CNTROB,images
Duodenum_COG6_Male_55_1920.jpg,COG6,images
Duodenum_COMMD9_Male_50_1904.jpg,COMMD9,images
Duodenum_COPG1_Male_35_3219.jpg,COPG1,images
Duodenum_COPG2_Male_55_1920.jpg,COPG2,images
Duodenum_COQ6_Female_67_3479.jpg,COQ6,images
Duodenum_CORO1C_Male_35_3219.jpg,CORO1C,images
Duodenum_CORO2A_Male_35_3219.jpg,CORO2A,images
Duodenum_CORO7_Male_35_3219.jpg,CORO7,images
Duodenum_COX17_Female_67_3479.jpg,COX17,images
Duodenum_COX4I1_Male_66_2329.jpg,COX4I1,images
Duodenum_CPSF6_Male_54_2562.jpg,CPSF6,images
Duodenum_CPSF7_Male_35_3219.jpg,CPSF7,images
Duodenum_CREBL2_Male_35_3219.jpg,CREBL2,images
Duodenum_CRK_Male_54_2562.jpg,CRK,images
Duodenum_CRTAP_Male_35_3219.jpg,CRTAP,images
Duodenum_CRY2_Male_35_3219.jpg,CRY2,images
Duodenum_CRYZL1_Female_60_3548.jpg,CRYZL1,images
Duodenum_CSTF3_Male_35_3219.jpg,CSTF3,images
Duodenum_CTCF_Male_50_1904.jpg,CTCF,images
Duodenum_CTNNA1_Male_54_2562.jpg,CTNNA1,images
Duodenum_CTNNBIP1_Male_59_1961.jpg,CTNNBIP1,images
Duodenum_CTSS_Female_75_1098.jpg,CTSS,images
Duodenum_CTTNBP2NL_Male_50_1904.jpg,CTTNBP2NL,images
Duodenum_CWC25_Male_54_2562.jpg,CWC25,images
Duodenum_CYCS_Male_50_1904.jpg,CYCS,images
Duodenum_CYP20A1_Male_55_1920.jpg,CYP20A1,images
Duodenum_CYP2S1_Male_59_1961.jpg,CYP2S1,images
Duodenum_CYP4F2_Male_50_1904.jpg,CYP4F2,images
Duodenum_CYP4F3_Female_67_3479.jpg,CYP4F3,images
Duodenum_CYP7B1_Male_50_1904.jpg,CYP7B1,images
Duodenum_DAD1_Male_55_1920.jpg,DAD1,images
Duodenum_DARS2_Male_50_1904.jpg,DARS2,images
Duodenum_DCHS1_Male_55_1920.jpg,DCHS1,images
Duodenum_DCLK1_Male_54_2562.jpg,DCLK1,images
Duodenum_DCP1B_Male_55_1920.jpg,DCP1B,images
Duodenum_DCTN6_Male_50_1904.jpg,DCTN6,images
Duodenum_DCTN6_Male_54_2562.jpg,DCTN6,images
Duodenum_DDX27_Male_55_1920.jpg,DDX27,images
Duodenum_DDX28_Female_67_3479.jpg,DDX28,images
